Stage,Section,Element,Type,Parameter,Value,Unit,Comment
0,Facility,Global,Name,Name,Dummy,,
0,Facility,Global,Reference particle,Kinetic energy,8000,MeV,
0,Facility,Global,Reference particle,Species,pion,,
0,Facility,Global,Vacuum chamber,Mother volume radius,0.75,m,
1,Source,Source,Gaussian,SourceMode,1,,Gaussian kinetic energy
1,Source,Source,Gaussian,SigmaX,0.000004,m,"Gaussian width, x"
1,Source,Source,Gaussian,SigmaY,0.000004,m,"Gaussian width, y"
1,Source,Source,Gaussian,MeanEnergy,8000,MeV,Mean of guassian kinetic energy
1,Source,Source,Gaussian,SigmaEnergy,800,MeV,Sigma of guassian kinetic energy
1,Source,Source,Gaussian,MinCTheta,0.998,,Minimum theta for flat cos theta
